056dc52b-bc2f-40d1-ba6c-18c6ac7b6396,,,,,76.20.213.99,0,"0.0,0.0",0,,,,,2014-08-13T21:36:42
377cd8d1-b14d-44f9-84d0-79b3e30d0b23,-,-,North America,United States,70.208.14.184,38,"38.0,-97.0",-97,-,Verizon Wireless,-,-,2014-08-19T15:58:19
ea953709-8864-49fa-887b-e4a688fc3537,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-08-18T16:51:42
504a794f-813a-44bb-ac31-5388c1a5fb73,480,Mesa,North America,United States,66.17.81.2,33.422,"33.4223,-111.8226",-111.82,753,"Sparkplug Southwest, LLC.",-,Arizona,2014-08-25T16:39:51
a901a33d-91fc-4c55-8b61-e06bd78905fe,610,Exton,North America,United States,96.245.114.98,40.041,"40.0409,-75.6374",-75.637,504,Verizon FiOS,19341,Pennsylvania,2014-07-15T15:58:13
8809f9e6-24d9-444b-ae03-be241540de64,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T13:02:04
35c7e5ac-ed8f-4f33-ba7f-f724102622e7,510,Richmond,North America,United States,66.87.119.86,37.936,"37.9358,-122.3478",-122.35,807,Sprint PCS,-,California,2014-08-25T23:32:38
25b8a570-29d9-4254-b14b-d7971e59a2cb,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T18:19:18
b223cefd-0230-4c6a-a81f-ef526443b70a,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-30T13:55:55
cf740c7a-37c6-4faf-88c2-8edd009232f1,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T13:09:59
d28eeaba-b946-41a7-9d5f-0a272800f0b9,,,,,75.17.117.50,0,"0.0,0.0",0,,,,,2014-11-18T00:01:16
