1447688871.350147 - smartdata - INFO - Using webserver: localhost:3000
1447688871.350406 - smartdata - INFO - Priming data...
1447688871.350486 - smartdata - INFO - Populating past data...
1447689261.845689 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689266.853876 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689271.861804 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689276.865691 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689281.872496 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689286.880437 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689291.886775 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689296.894042 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689301.900478 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689306.907016 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689311.910382 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689316.914044 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689321.918869 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689326.924809 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689331.932708 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689336.936722 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689341.943005 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689346.944144 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689351.949708 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689356.954649 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689361.961152 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689366.965945 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689371.970295 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689376.978459 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689381.985524 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689386.991812 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
